name,position,team,kickoff_time,opponent_team,value,was_home
Jakub Moder,MID,Brighton,2024-09-14,10,45,TRUE
Mark O’Mahony,FWD,Brighton,2024-09-14,10,45,TRUE
Odeluga Offiah,DEF,Brighton,2024-09-14,10,40,TRUE
Cameron Peupion,MID,Brighton,2024-09-14,10,45,TRUE
Jeremy Sarmiento Morante,MID,Brighton,2024-09-14,10,49,TRUE
Jason Steele,GK,Brighton,2024-09-14,10,45,TRUE
Deniz Undav,FWD,Brighton,2024-09-14,10,55,TRUE
Jan Paul van Hecke,DEF,Brighton,2024-09-14,10,45,TRUE
Joël Veltman,DEF,Brighton,2024-09-14,10,45,TRUE
Bart Verbruggen,GK,Brighton,2024-09-14,10,45,TRUE
Adam Webster,DEF,Brighton,2024-09-14,10,45,TRUE
Danny Welbeck,FWD,Brighton,2024-09-14,10,57,TRUE
Mats Wieffer,MID,Brighton,2024-09-14,10,50,TRUE
Brajan Gruda,MID,Brighton,2024-09-14,10,55,TRUE
Yasin Ayari,MID,Brighton,2024-09-14,10,50,TRUE
Andrew Moran,MID,Brighton,2024-09-14,10,50,TRUE
Carl Rushworth,GK,Brighton,2024-09-14,10,40,TRUE
Georginio Rutter,MID,Brighton,2024-09-14,10,55,TRUE
Ferdi Kadioglu,DEF,Brighton,2024-09-14,10,45,TRUE
Matt O'Riley,MID,Brighton,2024-09-14,10,55,TRUE
Eddie Nketiah,FWD,Crystal Palace,2024-09-14,11,59,TRUE
Trevoh Chalobah,DEF,Crystal Palace,2024-09-14,11,44,TRUE
Naouirou Ahamada,MID,Crystal Palace,2024-09-14,11,45,TRUE
Cheick Doucouré,MID,Crystal Palace,2024-09-14,11,49,TRUE
Chris Richards,DEF,Crystal Palace,2024-09-14,11,45,TRUE
Chadi Riad Dnanou,DEF,Crystal Palace,2024-09-14,11,44,TRUE
Nathaniel Clyne,DEF,Crystal Palace,2024-09-14,11,44,TRUE
Malcolm Ebiowei,MID,Crystal Palace,2024-09-14,11,45,TRUE
Eberechi Eze,MID,Crystal Palace,2024-09-14,11,69,TRUE
Marc Guéhi,DEF,Crystal Palace,2024-09-14,11,45,TRUE
Dean Henderson,GK,Crystal Palace,2024-09-14,11,45,TRUE
Rob Holding,DEF,Crystal Palace,2024-09-14,11,44,TRUE
Will Hughes,MID,Crystal Palace,2024-09-14,11,49,TRUE
Daichi Kamada,MID,Crystal Palace,2024-09-14,11,54,TRUE
Jefferson Lerma Solís,MID,Crystal Palace,2024-09-14,11,49,TRUE
Jean-Philippe Mateta,FWD,Crystal Palace,2024-09-14,11,74,TRUE
Matheus França de Oliveira,MID,Crystal Palace,2024-09-14,11,44,TRUE
Remi Matthews,GK,Crystal Palace,2024-09-14,11,40,TRUE
Tyrick Mitchell,DEF,Crystal Palace,2024-09-14,11,49,TRUE
Daniel Muñoz,DEF,Crystal Palace,2024-09-14,11,50,TRUE
David Ozoh,MID,Crystal Palace,2024-09-14,11,45,TRUE
Jesurun Rak-Sakyi,MID,Crystal Palace,2024-09-14,11,45,TRUE
Jeffrey Schlupp,MID,Crystal Palace,2024-09-14,11,49,TRUE
Joel Ward,DEF,Crystal Palace,2024-09-14,11,44,TRUE
Adam Wharton,MID,Crystal Palace,2024-09-14,11,50,TRUE
Matt Turner,GK,Crystal Palace,2024-09-14,11,40,TRUE
Ismaïla Sarr,MID,Crystal Palace,2024-09-14,11,59,TRUE
Franco Umeh-Chibueze,MID,Crystal Palace,2024-09-14,11,45,TRUE
Justin Devenny,MID,Crystal Palace,2024-09-14,11,45,TRUE
Asher Agbinone,MID,Crystal Palace,2024-09-14,11,45,TRUE
Kaden Rodney,MID,Crystal Palace,2024-09-14,11,45,TRUE
Maxence Lacroix,DEF,Crystal Palace,2024-09-14,11,45,TRUE
Reiss Nelson,MID,Fulham,2024-09-14,19,50,TRUE
Emile Smith Rowe,MID,Fulham,2024-09-14,19,56,TRUE
Joachim Andersen,DEF,Fulham,2024-09-14,19,44,TRUE
Adama Traoré,MID,Fulham,2024-09-14,19,50,TRUE
Andreas Hoelgebaum Pereira,MID,Fulham,2024-09-14,19,54,TRUE
Calvin Bassey,DEF,Fulham,2024-09-14,19,45,TRUE
Steven Benda,GK,Fulham,2024-09-14,19,40,TRUE
Tom Cairney,MID,Fulham,2024-09-14,19,49,TRUE
Timothy Castagne,DEF,Fulham,2024-09-14,19,44,TRUE
Issa Diop,DEF,Fulham,2024-09-14,19,45,TRUE
Luke Harris,MID,Fulham,2024-09-14,19,45,TRUE
Alex Iwobi,MID,Fulham,2024-09-14,19,55,TRUE
Bernd Leno,GK,Fulham,2024-09-14,19,50,TRUE
Saša Lukić,MID,Fulham,2024-09-14,19,50,TRUE
Kevin Mbabu,DEF,Fulham,2024-09-14,19,40,TRUE
Rodrigo Muniz Carvalho,FWD,Fulham,2024-09-14,19,61,TRUE
Raúl Jiménez,FWD,Fulham,2024-09-14,19,54,TRUE
Tim Ream,DEF,Fulham,2024-09-14,19,45,TRUE
Harrison Reed,MID,Fulham,2024-09-14,19,49,TRUE
Antonee Robinson,DEF,Fulham,2024-09-14,19,46,TRUE
Jay Stansfield,FWD,Fulham,2024-09-14,19,50,TRUE
Kenny Tete,DEF,Fulham,2024-09-14,19,45,TRUE
Carlos Vinícius Alves Morais,FWD,Fulham,2024-09-14,19,50,TRUE
Harry Wilson,MID,Fulham,2024-09-14,19,54,TRUE
Ryan Sessegnon,DEF,Fulham,2024-09-14,19,44,TRUE
