name,name_copy
aaron connolly,aaron connolly
aaron cresswell,aaron cresswell
aaron hickey,aaron hickey
aaron lennon,aaron lennon
aaron ramsdale,aaron ramsdale
aaron ramsey,aaron ramsey
aaron wan bissaka,aaron wan bissaka
abdoulaye doucoure,abdoulaye doucoure
aboubakar kamara,aboubakar kamara
adam armstrong,adam armstrong
adam forshaw,adam forshaw
adam idah,adam idah
adam lallana,adam lallana
adam masina,adam masina
adam smith,adam smith
adam webster,adam webster
adam wharton,adam wharton
adama traore,adama traore
adama traore diarra,NA
ademola lookman,ademola lookman
adrian,adrian
ahmed elmohamady,ahmed elmohamady
ahmed hegazy,ahmed hegazy
ainsley maitland niles,ainsley maitland niles
albert sambi lokonga,albert sambi lokonga
alejandro garnacho,alejandro garnacho
alejandro garnacho ferreyra,NA
alejo veliz,alejo veliz
aleksandar mitrovic,aleksandar mitrovic
alex iwobi,alex iwobi
alex kral,alex kral
alex matos,alex matos
alex mccarthy,alex mccarthy
alex mighten,alex mighten
alex moreno,alex moreno
alex murphy,alex murphy
alex nicolao telles,NA
alex oxlade chamberlain,alex oxlade chamberlain
alex scott,alex scott
alex telles,alex telles
alexander isak,alexander isak
alexandre jankewitz,alexandre jankewitz
alexandre lacazette,alexandre lacazette
alexandre moreno lopera,NA
alexis mac allister,alexis mac allister
alfie doughty,alfie doughty
alfie gilchrist,alfie gilchrist
alireza jahanbakhsh,alireza jahanbakhsh
alisson,alisson
alisson ramses becker,NA
allan,allan
allan marques loureiro,NA
allan saint maximin,allan saint maximin
allan tchaptchet,allan tchaptchet
alphonse areola,alphonse areola
alvaro fernandez,alvaro fernandez
amad diallo,NA
amad diallo traore,amad diallo traore
amadou diallo,amadou diallo
amadou onana,amadou onana
amari&# i bell,amari&# i bell
amari'i bell,NA
ameen al dakhil,ameen al dakhil
anass zaroury,anass zaroury
andi zeqiri,andi zeqiri
andre ayew,andre ayew
andre brooks,andre brooks
andre filipe tavares gomes,NA
andre gomes,andre gomes
andre onana,andre onana
andre tavares gomes,NA
andreas christensen,andreas christensen
andreas hoelgebaum pereira,NA
andreas pereira,andreas pereira
andrew moran,andrew moran
andrew omobamidele,andrew omobamidele
andrew robertson,andrew robertson
andrey nascimento dos santos,NA
andrey santos,andrey santos
andriy yarmolenko,andriy yarmolenko
andros townsend,andros townsend
andy carroll,andy carroll
anel ahmedhodzic,anel ahmedhodzic
angelo ogbonna,angelo ogbonna
angus gunn,angus gunn
anis ben slimane,anis ben slimane
anis slimane,NA
anssumane fati,anssumane fati
anssumane fati vieira,NA
anthony elanga,anthony elanga
anthony gordon,anthony gordon
anthony martial,anthony martial
antoine semenyo,antoine semenyo
antonee robinson,antonee robinson
antonio rudiger,antonio rudiger
antony,antony
antony matheus dos santos,NA
antwoine hackford,antwoine hackford
anwar el ghazi,anwar el ghazi
arijanet muric,arijanet muric
armando broja,armando broja
armel bella kotchap,armel bella kotchap
arnaut danjuma,arnaut danjuma
arnaut danjuma groeneveld,arnaut danjuma groeneveld
arthur masuaku,arthur masuaku
ashley barnes,ashley barnes
ashley fletcher,ashley fletcher
ashley westwood,ashley westwood
