team,name,position,value,previous_season_sum_total_points,starting_11,captain,key_player,.pred
Arsenal,ben white,DEF,6.5,182,Yes,not captain,0,3.509157168865204
Man City,ruben dias,DEF,5.5,NA,Yes,not captain,0,3.193945949077606
Arsenal,william saliba,DEF,6,164,Yes,not captain,0,2.8622246551513673
Crystal Palace,tyrick mitchell,DEF,5,119,no,not captain,0,1.8274892344474793
Spurs,pedro porro,DEF,5.5,136,no,not captain,0,1.4360635652542115
Arsenal,kai havertz,FWD,8,NA,Yes,not captain,0,2.8960644817352295
Brentford,yoane wissa,FWD,6,131,Yes,not captain,0,2.8875665340423584
Nott'm Forest,chris wood,FWD,6,131,Yes,not captain,0,2.615461347103119
Fulham,bernd leno,GK,5,133,Yes,captain,0,3.6212317967414855
Everton,jordan pickford,GK,5,153,no,not captain,0,3.3842137866020203
Chelsea,cole palmer,MID,10.5,244,Yes,not captain,0,3.278525161266327
Newcastle,bruno guimaraes,MID,6.5,153,Yes,not captain,0,2.8555800104141236
Newcastle,anthony gordon,MID,7.5,183,Yes,not captain,0,2.8145919728279116
West Ham,jarrod bowen,MID,7.5,182,Yes,not captain,0,2.496307602882385
Man City,phil foden,MID,9.5,230,no,not captain,0,2.4291763257980348
