team,name,position,value,previous_season_sum_total_points,starting_11,captain,key_player,.pred
Liverpool,trent alexander arnold,DEF,7,122,Yes,not captain,0,3.5834673767089846
Arsenal,ben white,DEF,6.5,182,Yes,not captain,0,3.509157168865204
Arsenal,william saliba,DEF,6,164,Yes,not captain,0,2.8622246551513673
Newcastle,dan burn,DEF,4.5,NA,no,not captain,0,2.274616847038269
Crystal Palace,tyrick mitchell,DEF,5,119,no,not captain,0,1.8274892344474793
Man City,erling haaland,FWD,15,217,Yes,not captain,1,4.303378801345826
Brentford,yoane wissa,FWD,6,131,Yes,not captain,0,2.8875665340423584
Nott'm Forest,chris wood,FWD,6,131,Yes,not captain,0,2.615461347103119
Everton,jordan pickford,GK,5,153,Yes,not captain,0,3.3842137866020203
Arsenal,david raya,GK,5.5,135,no,not captain,0,3.092156352996826
Liverpool,mohamed salah,MID,12.5,211,Yes,captain,1,4.497479354858399
Fulham,andreas pereira,MID,5.5,127,Yes,not captain,0,2.60940379858017
Everton,dwight mcneil,MID,5.5,124,Yes,not captain,0,2.4988209524154663
West Ham,tomas soucek,MID,5,116,Yes,not captain,0,2.1862959613800044
Newcastle,sean longstaff,MID,5,110,no,not captain,0,1.4181581342220306
