name,name_copy
danny welbeck,danny welbeck
dara o&# shea,dara o&# shea
dara o'shea,NA
darko gyabi,darko gyabi
darnell furlong,darnell furlong
darren randolph,darren randolph
darwin nunez,darwin nunez
darwin nunez ribeiro,NA
david brooks,david brooks
david button,david button
david datro fofana,david datro fofana
david de gea,david de gea
david de gea quintana,NA
david luiz,david luiz
david luiz moreira marinho,NA
david mcgoldrick,david mcgoldrick
david ozoh,david ozoh
david raya,david raya
david raya martin,NA
davinson sanchez,davinson sanchez
davy propper,davy propper
dean henderson,dean henderson
deandre yedlin,deandre yedlin
declan rice,declan rice
dejan kulusevski,dejan kulusevski
dele alli,dele alli
demarai gray,demarai gray
denis odoi,denis odoi
denis zakaria,denis zakaria
deniz undav,deniz undav
dennis praet,dennis praet
dexter lembikisa,dexter lembikisa
diego carlos,diego carlos
diego carlos santos silva,NA
diego costa,diego costa
diego da silva costa,NA
diego llorente,diego llorente
dimitris giannoulis,dimitris giannoulis
diogo dalot,diogo dalot
diogo dalot teixeira,NA
diogo jota,diogo jota
diogo teixeira da silva,NA
divin mubama,divin mubama
divock origi,divock origi
djed spence,djed spence
dominic ballard,dominic ballard
dominic calvert lewin,dominic calvert lewin
dominic solanke,dominic solanke
dominic thompson,dominic thompson
donny van de beek,donny van de beek
douglas luiz,douglas luiz
douglas luiz soares de paulo,NA
duje caleta car,duje caleta car
dwight gayle,dwight gayle
dwight mcneil,dwight mcneil
eberechi eze,eberechi eze
eddie nketiah,eddie nketiah
ederson,ederson
ederson santana de moraes,NA
edinson cavani,edinson cavani
edo kayembe,edo kayembe
edouard mendy,edouard mendy
edward nketiah,NA
elliot anderson,elliot anderson
ellis simms,ellis simms
emerson,emerson
emerson,emerson
emerson aparecido leite de souza junior,NA
emerson leite de souza junior,NA
emerson palmieri dos santos,NA
emil krafth,emil krafth
emile smith rowe,emile smith rowe
emiliano buendia,emiliano buendia
emiliano buendia stati,NA
emiliano marcondes,emiliano marcondes
emiliano martinez,emiliano martinez
emiliano martinez romero,NA
emmanuel dennis,emmanuel dennis
enda stevens,enda stevens
