name,name_copy
timothy fosu mensah,timothy fosu mensah
tino livramento,NA
toby alderweireld,toby alderweireld
todd cantwell,todd cantwell
tom cairney,tom cairney
tom cleverley,tom cleverley
tom davies,tom davies
tomas soucek,tomas soucek
tony springett,tony springett
tosin adarabioyo,tosin adarabioyo
toti,toti
toti antonio gomes,NA
trent alexander arnold,trent alexander arnold
trevoh chalobah,trevoh chalobah
trezeguet,trezeguet
trincao,trincao
troy deeney,troy deeney
tyler adams,tyler adams
tyler morton,tyler morton
tyler onyango,tyler onyango
tyler roberts,tyler roberts
tyrell malacia,tyrell malacia
tyrese francois,tyrese francois
tyrick mitchell,tyrick mitchell
tyrone mings,tyrone mings
valentino livramento,valentino livramento
vicente guaita,vicente guaita
victor kristiansen,victor kristiansen
victor lindelof,victor lindelof
virgil van dijk,virgil van dijk
vitalii mykolenko,vitalii mykolenko
vitaly janelt,vitaly janelt
vitinha,vitinha
vitor ferreira,NA
vladimir coufal,vladimir coufal
wayne hennessey,wayne hennessey
wes morgan,wes morgan
wesley,wesley
wesley fofana,wesley fofana
wesley moraes,NA
weston mckennie,weston mckennie
wilfred ndidi,wilfred ndidi
wilfried gnonto,wilfried gnonto
wilfried zaha,wilfried zaha
will hughes,will hughes
will norris,will norris
william fish,william fish
william saliba,william saliba
william smallbone,william smallbone
william troost ekong,william troost ekong
willian,willian
willian borges da silva,NA
willian jose,willian jose
willian jose da silva,NA
willy boly,willy boly
willy caballero,willy caballero
wout faes,wout faes
wout weghorst,wout weghorst
xherdan shaqiri,xherdan shaqiri
yan valery,yan valery
yasin ayari,yasin ayari
yerry mina,yerry mina
yoane wissa,yoane wissa
youri tielemans,youri tielemans
yves bissouma,yves bissouma
zack steffen,zack steffen
zanka,zanka
