code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,season_x
11,0,NA,9,0,Everton,0,0,0,EVE,3,NA,FALSE,0,1095,1100,1125,1125,1065,1080,7,2023_24
54,0,NA,10,0,Fulham,0,0,0,FUL,3,NA,FALSE,0,1055,1175,1050,1180,1060,1170,34,2023_24
14,0,NA,11,0,Liverpool,0,0,0,LIV,4,NA,FALSE,0,1240,1370,1210,1350,1270,1390,10,2023_24
102,0,NA,12,0,Luton,0,0,0,LUT,2,NA,FALSE,0,1055,1090,1020,1060,1090,1120,163,2023_24
43,0,NA,13,0,Man City,0,0,0,MCI,5,NA,FALSE,0,1355,1365,1350,1360,1360,1370,11,2023_24
1,0,NA,14,0,Man Utd,0,0,0,MUN,3,NA,FALSE,0,1125,1220,1130,1210,1120,1230,12,2023_24
4,0,NA,15,0,Newcastle,0,0,0,NEW,3,NA,FALSE,0,1105,1280,1050,1210,1160,1355,23,2023_24
17,0,NA,16,0,Nott'm Forest,0,0,0,NFO,3,NA,FALSE,0,1065,1100,1050,1125,1080,1080,15,2023_24
49,0,NA,17,0,Sheffield Utd,0,0,0,SHU,2,NA,FALSE,0,1030,1040,1045,1020,1020,1060,18,2023_24
6,0,NA,18,0,Spurs,0,0,0,TOT,4,NA,FALSE,0,1170,1230,1110,1150,1230,1310,21,2023_24
21,0,NA,19,0,West Ham,0,0,0,WHU,3,NA,FALSE,0,1100,1145,1055,1140,1150,1150,25,2023_24
39,0,NA,20,0,Wolves,0,0,0,WOL,3,NA,FALSE,0,1100,1100,1085,1105,1115,1100,38,2023_24
